player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,match_id,match_date
"{""name"": ""Jean-Philippe Mateta"", ""slug"": ""jean-philippe-mateta"", ""shortName"": ""J. Mateta"", ""position"": ""F"", ""jerseyNumber"": ""14"", ""userCount"": 9204, ""gender"": ""M"", ""sofascoreId"": ""Matetajphilippe"", ""id"": 848276, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u062c\u0627\u0646-\u0641\u064a\u0644\u064a\u0628 \u0645\u0627\u062a\u064a\u062a\u0627"", ""hi"": ""\u091c\u0940\u0928-\u092b\u093f\u0932\u093f\u092a \u092e\u093e\u091f\u0947\u091f\u093e"", ""bn"": ""\u099c\u09bf\u09a8-\u09ab\u09bf\u09b2\u09bf\u09aa \u09ae\u09be\u099f\u09c7\u099f\u09be""}, ""shortNameTranslation"": {""ar"": ""\u062c. \u0645\u0627\u062a\u064a\u062a\u0627"", ""hi"": ""\u091c\u0947. \u092e\u093e\u091f\u0947\u091f\u093e"", ""bn"": ""\u099c\u09c7. \u09ae\u09be\u099f\u09c7\u099f\u09be""}}}",false,block,assisted,"{""x"": 19.8, ""y"": 37.6, ""z"": 0}",left-foot,low-centre,"{""x"": 0, ""y"": 50.1, ""z"": 19}","{""x"": 16.7, ""y"": 39.5, ""z"": 0}",0.044246505945921,0,3701430,1,,18,"{""start"": {""x"": 37.6, ""y"": 19.8}, ""block"": {""x"": 39.5, ""y"": 16.7}, ""end"": {""x"": 49.9, ""y"": 0}, ""goal"": {""x"": 49.9, ""y"": 81}}",45,2682,18,shot,,12436910,2024-09-01
"{""name"": ""Jaden Philogene-Bidace"", ""slug"": ""jaden-philogene-bidace"", ""shortName"": ""J. Philogene-Bidace"", ""position"": ""M"", ""jerseyNumber"": ""11"", ""userCount"": 4626, ""gender"": ""M"", ""id"": 1014461, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u062c\u0627\u062f\u064a\u0646 \u0641\u064a\u0644\u0648\u062c\u064a\u0646-\u0628\u064a\u062f\u0627\u0633"", ""hi"": ""\u091c\u0947\u0921\u0928 \u092b\u093f\u0932\u094b\u091c\u0947\u0928-\u092c\u093f\u0921\u0947\u0938"", ""bn"": ""\u099c\u09be\u09a1\u09c7\u09a8 \u09ab\u09bf\u09b2\u09cb\u099c\u09bf\u09a8-\u09ac\u09bf\u09a1\u09c7\u09b8""}, ""shortNameTranslation"": {""ar"": ""\u062c. \u0641\u064a\u0644\u0648\u062c\u064a\u0646-\u0628\u064a\u062f\u0627\u0633"", ""hi"": ""\u091c\u0947. \u092b\u093f\u0932\u094b\u091c\u0947\u0928-\u092c\u093f\u0921\u0947\u0938"", ""bn"": ""\u099c\u09c7. \u09ab\u09bf\u09b2\u09cb\u099c\u09c7\u09a8-\u09ac\u09bf\u09a1\u09c7\u09b8""}}}",true,block,assisted,"{""x"": 7.6, ""y"": 60.1, ""z"": 0}",right-foot,low-centre,"{""x"": 0, ""y"": 49.5, ""z"": 19}","{""x"": 0.90000000000001, ""y"": 51.6, ""z"": 0}",0.13758890330791,0,4475948,1,,24,"{""start"": {""x"": 60.1, ""y"": 7.6}, ""block"": {""x"": 51.6, ""y"": 0.90000000000001}, ""end"": {""x"": 50.5, ""y"": 0}, ""goal"": {""x"": 50.5, ""y"": 81}}",45,2676,24,shot,,12436629,2025-02-22
"{""name"": ""Harvey Barnes"", ""firstName"": """", ""lastName"": """", ""slug"": ""harvey-barnes"", ""shortName"": ""H. Barnes"", ""position"": ""F"", ""jerseyNumber"": ""11"", ""userCount"": 5057, ""gender"": ""M"", ""id"": 855647, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u0647\u0627\u0631\u0641\u064a \u0628\u0627\u0631\u0646\u0632"", ""hi"": ""\u0939\u093e\u0930\u094d\u0935\u0947 \u092c\u093e\u0930\u094d\u0928\u094d\u0938"", ""bn"": ""\u09b9\u09be\u09b0\u09cd\u09ad\u09c7 \u09ac\u09be\u09b0\u09cd\u09a8\u09b8""}, ""shortNameTranslation"": {""ar"": ""\u0647. \u0628\u0627\u0631\u0646\u0632"", ""hi"": ""\u090f\u091a. \u092c\u093e\u0930\u094d\u0928\u094d\u0938"", ""bn"": ""\u098f\u0987\u099a. \u09ac\u09be\u09b0\u09cd\u09a8\u09b8""}}}",true,block,assisted,"{""x"": 20.6, ""y"": 48.7, ""z"": 0}",right-foot,low-left,"{""x"": 0, ""y"": 52.2, ""z"": 19}","{""x"": 13.1, ""y"": 48.4, ""z"": 0}",0.034956242889166,0,3832216,1,,25,"{""start"": {""x"": 48.7, ""y"": 20.6}, ""block"": {""x"": 48.4, ""y"": 13.1}, ""end"": {""x"": 47.8, ""y"": 0}, ""goal"": {""x"": 47.8, ""y"": 81}}",45,2675,25,shot,,12436999,
"{""name"": ""Conor Chaplin"", ""firstName"": """", ""lastName"": """", ""slug"": ""conor-chaplin"", ""shortName"": ""C. Chaplin"", ""position"": ""M"", ""jerseyNumber"": ""36"", ""userCount"": 461, ""gender"": ""M"", ""id"": 784625, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u0643\u0648\u0646\u0648\u0631 \u062a\u0634\u0627\u0628\u0644\u0646""}, ""shortNameTranslation"": {""ar"": ""\u0643. \u062a\u0634\u0627\u0628\u0644\u0646""}}}",true,block,throw-in-set-piece,"{""x"": 14.1, ""y"": 50.3, ""z"": 0}",left-foot,low-centre,"{""x"": 0, ""y"": 50.7, ""z"": 19}","{""x"": 12.4, ""y"": 50.2, ""z"": 0}",0.052230983972549,0,5000250,1,,32,"{""start"": {""x"": 50.3, ""y"": 14.1}, ""block"": {""x"": 50.2, ""y"": 12.4}, ""end"": {""x"": 49.3, ""y"": 0}, ""goal"": {""x"": 49.3, ""y"": 81}}",45,2668,32,shot,,12436538,2025-05-25
"{""name"": ""Marcus Rashford"", ""slug"": ""marcus-rashford"", ""shortName"": ""M. Rashford"", ""position"": ""M"", ""jerseyNumber"": ""14"", ""userCount"": 352120, ""gender"": ""M"", ""sofascoreId"": ""Rashford"", ""id"": 814590, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u0645\u0627\u0631\u0643\u0648\u0633 \u0631\u0627\u0634\u0641\u0648\u0631\u062f"", ""hi"": ""\u092e\u093e\u0930\u094d\u0915\u0938 \u0930\u0948\u0936\u092b\u094b\u0930\u094d\u0921"", ""bn"": ""\u09ae\u09be\u09b0\u09cd\u0995\u09be\u09b8 \u09b0\u09be\u09b6\u09ab\u09cb\u09b0\u09cd\u09a1""}, ""shortNameTranslation"": {""ar"": ""\u0645. \u0631\u0627\u0634\u0641\u0648\u0631\u062f"", ""hi"": ""\u090f\u092e. \u0930\u0948\u0936\u092b\u094b\u0930\u094d\u0921"", ""bn"": ""\u098f\u09ae. \u09b0\u09be\u09b6\u09ab\u09cb\u09b0\u09cd\u09a1""}}}",false,block,assisted,"{""x"": 14.1, ""y"": 72.9, ""z"": 0}",right-foot,low-centre,"{""x"": 0, ""y"": 51.4, ""z"": 19}","{""x"": 12, ""y"": 69.3, ""z"": 0}",0.04710890352726,0,4742872,1,,33,"{""start"": {""x"": 72.9, ""y"": 14.1}, ""block"": {""x"": 69.3, ""y"": 12}, ""end"": {""x"": 48.6, ""y"": 0}, ""goal"": {""x"": 48.6, ""y"": 81}}",45,2667,33,shot,,12436614,2025-04-12
"{""name"": ""Eberechi Eze"", ""firstName"": """", ""lastName"": """", ""slug"": ""eberechi-eze"", ""shortName"": ""E. Eze"", ""position"": ""F"", ""jerseyNumber"": ""10"", ""userCount"": 55072, ""gender"": ""M"", ""sofascoreId"": ""eze"", ""id"": 864921, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u0625\u064a\u0628\u064a\u0631\u064a\u0634\u064a \u0625\u064a\u0632"", ""hi"": ""\u090f\u092c\u0947\u0930\u091a\u0940 \u0908\u091c\u093c\u0947"", ""bn"": ""\u0987\u09ac\u09c7\u09b0\u09c7\u099a\u09bf \u098f\u099c""}, ""shortNameTranslation"": {""ar"": ""\u0625. \u0625\u064a\u0632"", ""hi"": ""\u0908. \u0908\u091c\u093c\u0947"", ""bn"": ""\u0987. \u098f\u099c""}}}",true,block,regular,"{""x"": 15.1, ""y"": 48.5, ""z"": 0}",right-foot,low-centre,"{""x"": 0, ""y"": 48.9, ""z"": 19}","{""x"": 13.7, ""y"": 48.7, ""z"": 0}",0.066051572561264,0,4202996,1,,33,"{""start"": {""x"": 48.5, ""y"": 15.1}, ""block"": {""x"": 48.7, ""y"": 13.7}, ""end"": {""x"": 51.1, ""y"": 0}, ""goal"": {""x"": 51.1, ""y"": 81}}",45,2667,33,shot,,12436532,2024-12-29
"{""name"": ""Curtis Jones"", ""firstName"": """", ""lastName"": """", ""slug"": ""curtis-jones"", ""shortName"": ""C. Jones"", ""position"": ""M"", ""jerseyNumber"": ""17"", ""userCount"": 17472, ""gender"": ""M"", ""sofascoreId"": ""curtisjones"", ""id"": 927353, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u0643\u064a\u0631\u062a\u0633 \u062c\u0648\u0646\u0632"", ""hi"": ""\u0915\u0930\u094d\u091f\u093f\u0938 \u091c\u094b\u0928\u094d\u0938"", ""bn"": ""\u0995\u09be\u09b0\u09cd\u099f\u09bf\u09b8 \u099c\u09cb\u09a8\u09cd\u09b8""}, ""shortNameTranslation"": {""ar"": ""\u0643. \u062c\u0648\u0646\u0632"", ""hi"": ""\u0938\u0940. \u091c\u094b\u0928\u094d\u0938"", ""bn"": ""\u09b8\u09bf. \u099c\u09cb\u09a8\u09cd\u09b8""}}}",true,block,assisted,"{""x"": 9.7, ""y"": 30.7, ""z"": 0}",left-foot,low-left,"{""x"": 0, ""y"": 52.2, ""z"": 19}","{""x"": 7.9, ""y"": 33.9, ""z"": 0}",0.039286620914936,0,4552539,1,,49,"{""start"": {""x"": 30.7, ""y"": 9.7}, ""block"": {""x"": 33.9, ""y"": 7.9}, ""end"": {""x"": 47.8, ""y"": 0}, ""goal"": {""x"": 47.8, ""y"": 81}}",45,2651,49,shot,,12437003,2025-03-08
"{""name"": ""Pedro Neto"", ""slug"": ""pedro-neto"", ""shortName"": ""P. Neto"", ""position"": ""M"", ""jerseyNumber"": ""7"", ""userCount"": 39923, ""gender"": ""M"", ""sofascoreId"": ""pedroneto_30"", ""id"": 879349, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u0628\u064a\u062f\u0631\u0648 \u0646\u064a\u062a\u0648"", ""hi"": ""\u092a\u0947\u0921\u094d\u0930\u094b \u0928\u0947\u091f\u094b"", ""bn"": ""\u09aa\u09c7\u09a1\u09cd\u09b0\u09cb \u09a8\u09c7\u099f\u09cb""}, ""shortNameTranslation"": {""ar"": ""\u0628. \u0646\u064a\u062a\u0648"", ""hi"": ""\u092a\u0940. \u0928\u0947\u091f\u094b"", ""bn"": ""\u09aa\u09bf. \u09a8\u09c7\u099f\u09cb""}}}",true,block,regular,"{""x"": 15.6, ""y"": 61.5, ""z"": 0}",left-foot,low-centre,"{""x"": 0, ""y"": 49.2, ""z"": 19}","{""x"": 12.8, ""y"": 59.6, ""z"": 0}",0.049169786274433,0,4695350,1,,58,"{""start"": {""x"": 61.5, ""y"": 15.6}, ""block"": {""x"": 59.6, ""y"": 12.8}, ""end"": {""x"": 50.8, ""y"": 0}, ""goal"": {""x"": 50.8, ""y"": 81}}",45,2642,58,shot,,12436587,2025-04-03
"{""name"": ""Mathys Tel"", ""slug"": ""mathys-tel"", ""shortName"": ""M. Tel"", ""position"": ""F"", ""jerseyNumber"": ""11"", ""userCount"": 11495, ""gender"": ""M"", ""sofascoreId"": ""m.tel14"", ""id"": 1048888, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u0645\u0627\u062a\u064a\u0633 \u062a\u064a\u0644"", ""hi"": ""\u092e\u0948\u0925\u093f\u0938 \u091f\u0947\u0932"", ""bn"": ""\u09ae\u09cd\u09af\u09be\u09a5\u09bf\u09b8 \u099f\u09c7\u09b2""}, ""shortNameTranslation"": {""ar"": ""\u0645. \u062a\u064a\u0644"", ""hi"": ""\u090f\u092e. \u091f\u0947\u0932"", ""bn"": ""\u098f\u09ae. \u099f\u09c7\u09b2""}}}",true,block,regular,"{""x"": 9.2, ""y"": 29.3, ""z"": 0}",right-foot,low-centre,"{""x"": 0, ""y"": 49.8, ""z"": 19}","{""x"": 7.1, ""y"": 34.1, ""z"": 0}",0.035167496651411,0,4806032,2,,65,"{""start"": {""x"": 29.3, ""y"": 9.2}, ""block"": {""x"": 34.1, ""y"": 7.1}, ""end"": {""x"": 50.2, ""y"": 0}, ""goal"": {""x"": 50.2, ""y"": 81}}",44,2635,65,shot,,12436537,2025-04-21
"{""name"": ""Dominik Szoboszlai"", ""slug"": ""dominik-szoboszlai"", ""shortName"": ""D. Szoboszlai"", ""position"": ""M"", ""jerseyNumber"": ""8"", ""userCount"": 66118, ""gender"": ""M"", ""sofascoreId"": ""DomSzobo"", ""id"": 869856, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u062f\u0648\u0645\u064a\u0646\u064a\u0643 \u0633\u0648\u0628\u0648\u0633\u0644\u0627\u064a"", ""hi"": ""\u0921\u094b\u092e\u093f\u0928\u093f\u0915 \u0938\u094d\u091c\u093c\u094b\u092c\u094b\u0938\u094d\u091c\u093c\u0932\u093e\u0908"", ""bn"": ""\u09a1\u09ae\u09bf\u09a8\u09bf\u0995 \u09b8\u09cb\u09ac\u09cb\u09b8\u099c\u09b2\u09be\u0987""}, ""shortNameTranslation"": {""ar"": ""\u062f. \u0633\u0648\u0628\u0648\u0633\u0644\u0627\u064a"", ""hi"": ""\u0921\u0940. \u0938\u094d\u091c\u093c\u094b\u092c\u094b\u0938\u094d\u091c\u093c\u0932\u093e\u0908"", ""bn"": ""\u09a1\u09bf.\u09b8\u09cb\u09ac\u09cb\u09b8\u099c\u09b2\u09be\u0987""}}}",false,block,assisted,"{""x"": 21.1, ""y"": 67.9, ""z"": 0}",right-foot,low-left,"{""x"": 0, ""y"": 52.8, ""z"": 19}","{""x"": 12.4, ""y"": 59.4, ""z"": 0}",0.027861522510648,0,4485050,2,,74,"{""start"": {""x"": 67.9, ""y"": 21.1}, ""block"": {""x"": 59.4, ""y"": 12.4}, ""end"": {""x"": 47.2, ""y"": 0}, ""goal"": {""x"": 47.2, ""y"": 81}}",44,2626,74,shot,,12436627,2025-02-23
"{""name"": ""Alexis Mac Allister"", ""slug"": ""alexis-mac-allister"", ""shortName"": ""A. Mac Allister"", ""position"": ""M"", ""jerseyNumber"": ""10"", ""userCount"": 73580, ""gender"": ""M"", ""sofascoreId"": ""Macca10"", ""id"": 895324, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u0623\u0644\u064a\u0643\u0633\u064a\u0633 \u0645\u0627\u0643 \u0623\u0644\u064a\u0633\u062a\u0631"", ""hi"": ""\u090f\u0932\u0947\u0915\u094d\u0938\u093f\u0938 \u092e\u0948\u0915 \u090f\u0932\u093f\u0938\u094d\u091f\u0930"", ""bn"": ""\u0985\u09cd\u09af\u09be\u09b2\u09c7\u0995\u09cd\u09b8\u09bf\u09b8 \u09ae\u09cd\u09af\u09be\u0995 \u0985\u09cd\u09af\u09be\u09b2\u09bf\u09b8\u09cd\u099f\u09be\u09b0""}, ""shortNameTranslation"": {""ar"": ""\u0623. \u0645\u0627\u0643 \u0623\u0644\u064a\u0633\u062a\u0631"", ""hi"": ""\u090f. \u092e\u0948\u0915 \u090f\u0932\u093f\u0938\u094d\u091f\u0930"", ""bn"": ""\u098f. \u09ae\u09cd\u09af\u09be\u0995 \u0985\u09cd\u09af\u09be\u09b2\u09bf\u09b8\u09cd\u099f\u09be\u09b0""}}}",false,block,corner,"{""x"": 7.1, ""y"": 48.3, ""z"": 0}",right-foot,low-left,"{""x"": 0, ""y"": 52.8, ""z"": 19}","{""x"": 5.3, ""y"": 48, ""z"": 0}",0.14572829008102,0,4361339,2,,77,"{""start"": {""x"": 48.3, ""y"": 7.1}, ""block"": {""x"": 48, ""y"": 5.3}, ""end"": {""x"": 47.2, ""y"": 0}, ""goal"": {""x"": 47.2, ""y"": 81}}",44,2623,77,shot,,12436911,2025-02-01
"{""name"": ""Raheem Sterling"", ""slug"": ""raheem-sterling"", ""shortName"": ""R. Sterling"", ""position"": ""F"", ""jerseyNumber"": ""30"", ""userCount"": 37956, ""gender"": ""M"", ""sofascoreId"": ""Sterling7"", ""id"": 138534, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u0631\u062d\u064a\u0645 \u0633\u062a\u064a\u0631\u0644\u064a\u0646\u063a"", ""hi"": ""\u0930\u0939\u0940\u092e \u0938\u094d\u091f\u0930\u094d\u0932\u093f\u0902\u0917"", ""bn"": ""\u09b0\u09be\u09b9\u09bf\u09ae \u09b8\u09cd\u099f\u09be\u09b0\u09cd\u09b2\u09bf\u0982""}, ""shortNameTranslation"": {""ar"": ""\u0631. \u0633\u062a\u0631\u0644\u064a\u0646\u063a"", ""hi"": ""\u0906\u0930. \u0938\u094d\u091f\u0930\u094d\u0932\u093f\u0902\u0917"", ""bn"": ""\u0986\u09b0. \u09b8\u09cd\u099f\u09be\u09b0\u09cd\u09b2\u09bf\u0982""}}}",false,block,assisted,"{""x"": 10.6, ""y"": 46.6, ""z"": 0}",right-foot,low-centre,"{""x"": 0, ""y"": 50.3, ""z"": 19}","{""x"": 7.6, ""y"": 47.5, ""z"": 0}",0.27959716320038,0,4701545,2,,78,"{""start"": {""x"": 46.6, ""y"": 10.6}, ""block"": {""x"": 47.5, ""y"": 7.6}, ""end"": {""x"": 49.7, ""y"": 0}, ""goal"": {""x"": 49.7, ""y"": 81}}",44,2622,78,shot,,12436596,2025-04-05
"{""name"": ""Luis D\u00edaz"", ""slug"": ""luis-diaz"", ""shortName"": ""L. D\u00edaz"", ""position"": ""F"", ""jerseyNumber"": ""14"", ""userCount"": 141232, ""gender"": ""M"", ""sofascoreId"": ""LuisD\u00edaz"", ""id"": 883537, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u0644\u0648\u064a\u0633 \u062f\u064a\u0627\u0632"", ""hi"": ""\u0932\u0941\u0907\u0938 \u0921\u093f\u092f\u093e\u091c\u093c"", ""bn"": ""\u09b2\u09c1\u0987\u09b8 \u09a6\u09bf\u09af\u09bc\u09be\u099c""}, ""shortNameTranslation"": {""ar"": ""\u0644. \u062f\u064a\u0627\u0632"", ""hi"": ""\u090f\u0932. \u0921\u093f\u092f\u093e\u091c\u093c"", ""bn"": ""\u098f\u09b2. \u09a6\u09bf\u09af\u09bc\u09be\u099c""}}}",false,block,corner,"{""x"": 3.7, ""y"": 44.5, ""z"": 0}",right-foot,low-centre,"{""x"": 0, ""y"": 51.8, ""z"": 19}","{""x"": 2.5, ""y"": 45.7, ""z"": 0}",0.17773304879665,0,4361672,2,,78,"{""start"": {""x"": 44.5, ""y"": 3.7}, ""block"": {""x"": 45.7, ""y"": 2.5}, ""end"": {""x"": 48.2, ""y"": 0}, ""goal"": {""x"": 48.2, ""y"": 81}}",44,2622,78,shot,,12436911,2025-02-01
"{""name"": ""Rodrigo Bentancur"", ""slug"": ""bentancur-rodrigo"", ""shortName"": ""R. Bentancur"", ""position"": ""M"", ""jerseyNumber"": ""30"", ""userCount"": 8335, ""gender"": ""M"", ""sofascoreId"": ""rodrigo_bentancur"", ""id"": 791190, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u0631\u0648\u062f\u0631\u064a\u063a\u0648 \u0628\u064a\u0646\u062a\u0627\u0646\u0643\u0648\u0631"", ""hi"": ""\u092c\u0947\u0928\u091f\u093e\u0928\u0915\u0941\u0930, \u0930\u094b\u0921\u094d\u0930\u093f\u0917\u094b"", ""bn"": ""\u09ac\u09c7\u09a8\u09cd\u099f\u09be\u09a8\u0995\u09c1\u09b0, \u09b0\u09a6\u09cd\u09b0\u09bf\u0997\u09cb""}, ""shortNameTranslation"": {""ar"": ""\u0631. \u0628\u064a\u0646\u062a\u0627\u0646\u0643\u0648\u0631"", ""hi"": ""\u0906\u0930. \u092c\u0947\u0928\u091f\u093e\u0928\u0915\u0941\u0930"", ""bn"": ""\u0986\u09b0. \u09ac\u09c7\u09a8\u09cd\u099f\u09be\u09a8\u0995\u09c1\u09b0""}}}",true,block,assisted,"{""x"": 27, ""y"": 43.3, ""z"": 0}",right-foot,low-right,"{""x"": 0, ""y"": 48, ""z"": 19}","{""x"": 25.3, ""y"": 43.9, ""z"": 0}",0.013664822094142,0,4203002,2,,81,"{""start"": {""x"": 43.3, ""y"": 27}, ""block"": {""x"": 43.9, ""y"": 25.3}, ""end"": {""x"": 52, ""y"": 0}, ""goal"": {""x"": 52, ""y"": 81}}",44,2619,81,shot,,12436521,2024-12-29
"{""name"": ""Dango Ouattara"", ""firstName"": ""Dango Ouattara"", ""slug"": ""dango-ouattara"", ""shortName"": ""D. Ouattara"", ""position"": ""F"", ""jerseyNumber"": ""19"", ""userCount"": 31703, ""gender"": ""M"", ""sofascoreId"": ""d.ouattara15"", ""id"": 1106451, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u062f\u0627\u0646\u062c\u0648 \u0623\u0648\u0627\u062a\u0627\u0631\u0627"", ""hi"": ""\u0921\u093e\u0902\u0917\u094b \u0913\u0909\u091f\u094d\u091f\u093e\u0930\u093e"", ""bn"": ""\u09a1\u09be\u0999\u09cd\u0997\u09cb \u0993\u0989\u09a4\u09cd\u09a4\u09be\u09b0\u09be""}, ""shortNameTranslation"": {""ar"": ""\u062f. \u0623\u0648\u0627\u062a\u0627\u0631\u0627"", ""hi"": ""\u0921\u0940. \u0913\u0909\u091f\u094d\u091f\u093e\u0930\u093e"", ""bn"": ""\u09a1\u09bf. \u0993\u0989\u09a4\u09cd\u09a4\u09be\u09b0\u09be""}}}",true,block,assisted,"{""x"": 13.6, ""y"": 20.5, ""z"": 0}",right-foot,low-centre,"{""x"": 0, ""y"": 49.1, ""z"": 19}","{""x"": 11.6, ""y"": 24.9, ""z"": 0}",0.018615851178765,0,4168951,2,,82,"{""start"": {""x"": 20.5, ""y"": 13.6}, ""block"": {""x"": 24.9, ""y"": 11.6}, ""end"": {""x"": 50.9, ""y"": 0}, ""goal"": {""x"": 50.9, ""y"": 81}}",44,2618,82,shot,,12436465,2024-12-16
"{""name"": ""Noni Madueke"", ""slug"": ""noni-madueke"", ""shortName"": ""N. Madueke"", ""position"": ""M"", ""jerseyNumber"": ""20"", ""userCount"": 40496, ""gender"": ""M"", ""sofascoreId"": ""nonzinoo10"", ""id"": 966547, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u0646\u0648\u0646\u064a \u0645\u0627\u062f\u0648\u064a\u0643\u064a"", ""hi"": ""\u0928\u094b\u0928\u0940 \u092e\u0926\u0941\u0915\u0947"", ""bn"": ""\u09a8\u09a8\u09bf \u09ae\u09be\u09a6\u09c1\u0995\u09c7""}, ""shortNameTranslation"": {""ar"": ""\u0646. \u0645\u0627\u062f\u0648\u064a\u0643\u064a"", ""hi"": ""\u090f\u0928. \u092e\u0926\u0941\u0915\u0947"", ""bn"": ""\u098f\u09a8. \u09ae\u09be\u09a6\u09c1\u0995\u09c7""}}}",false,block,assisted,"{""x"": 7.6, ""y"": 69.9, ""z"": 0}",left-foot,low-left,"{""x"": 0, ""y"": 53.6, ""z"": 19}","{""x"": 6.8, ""y"": 67.5, ""z"": 0}",0.03062042593956,0,4207721,2,,99,"{""start"": {""x"": 69.9, ""y"": 7.6}, ""block"": {""x"": 67.5, ""y"": 6.8}, ""end"": {""x"": 46.4, ""y"": 0}, ""goal"": {""x"": 46.4, ""y"": 81}}",44,2601,99,shot,,12436510,2024-12-30
"{""name"": ""Nicolas Jackson"", ""firstName"": ""Nicolas Jackson"", ""lastName"": """", ""slug"": ""nicolas-jackson"", ""shortName"": ""N. Jackson"", ""position"": ""F"", ""jerseyNumber"": ""11"", ""userCount"": 85941, ""gender"": ""M"", ""sofascoreId"": ""NJackson11"", ""id"": 1085381, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u0646\u064a\u0643\u0648\u0644\u0627\u0633 \u062c\u0627\u0643\u0633\u0648\u0646"", ""hi"": ""\u0928\u093f\u0915\u094b\u0932\u0938 \u091c\u0948\u0915\u094d\u0938\u0928"", ""bn"": ""\u09a8\u09bf\u0995\u09cb\u09b2\u09be\u09b8 \u099c\u09cd\u09af\u09be\u0995\u09b8\u09a8""}, ""shortNameTranslation"": {""ar"": ""\u0646. \u062c\u0627\u0643\u0633\u0648\u0646"", ""hi"": ""\u090f\u0928. \u091c\u0948\u0915\u094d\u0938\u0928"", ""bn"": ""\u098f\u09a8. \u099c\u09cd\u09af\u09be\u0995\u09b8\u09a8""}}}",true,block,assisted,"{""x"": 10.9, ""y"": 73.4, ""z"": 0}",right-foot,low-centre,"{""x"": 0, ""y"": 48.4, ""z"": 19}","{""x"": 9.9, ""y"": 71.5, ""z"": 0}",0.016570581123233,0,4376917,2,,100,"{""start"": {""x"": 73.4, ""y"": 10.9}, ""block"": {""x"": 71.5, ""y"": 9.9}, ""end"": {""x"": 51.6, ""y"": 0}, ""goal"": {""x"": 51.6, ""y"": 81}}",44,2600,100,shot,,12436919,2025-02-03
"{""name"": ""Heung-min Son"", ""firstName"": """", ""lastName"": """", ""slug"": ""heung-min-son"", ""shortName"": ""H. M. Son"", ""position"": ""F"", ""jerseyNumber"": ""7"", ""userCount"": 127333, ""gender"": ""M"", ""sofascoreId"": ""HMSon"", ""id"": 111505, ""fieldTranslations"": {""nameTranslation"": {""ar"": ""\u0647\u064a\u0648\u0646\u063a \u0645\u064a\u0646 \u0633\u0648\u0646"", ""hi"": ""\u0939\u094d\u092f\u0941\u0902\u0917-\u092e\u093f\u0928 \u0938\u094b\u0928"", ""bn"": ""\u09b9\u09c7\u0989\u0982-\u09ae\u09bf\u09a8 \u09b8\u09a8""}, ""shortNameTranslation"": {""ar"": ""\u0647. \u0645. \u0633\u0648\u0646"", ""hi"": ""\u090f\u091a.\u090f\u092e. \u0938\u094b\u0928"", ""bn"": ""\u098f\u0987\u099a. \u098f\u09ae. \u09b8\u09a8""}}}",false,block,fast-break,"{""x"": 9.5, ""y"": 32.3, ""z"": 0}",left-foot,low-right,"{""x"": 0, ""y"": 46.1, ""z"": 19}","{""x"": 8.4, ""y"": 34.8, ""z"": 0}",0.0635636895895,0,4695347,2,,108,"{""start"": {""x"": 32.3, ""y"": 9.5}, ""block"": {""x"": 34.8, ""y"": 8.4}, ""end"": {""x"": 53.9, ""y"": 0}, ""goal"": {""x"": 53.9, ""y"": 81}}",44,2592,108,shot,,12436587,2025-04-03
